asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,gpw_v4_rev11_density.2020.count,gpw_v4_rev11_density.2020.mean,gpw_v4_rev11_density.2020.max,gpw_v4_rev11_density.2020.min,gdp_grid.none.sum,gdp_grid.none.mean,gdp_grid.none.max,gdp_grid.none.min,distance_to_gemdata_201708.none.mean,distance_to_gemdata_201708.none.max,distance_to_gemdata_201708.none.min,dist_to_onshore_petroleum_v12.none.mean,dist_to_onshore_petroleum_v12.none.max,dist_to_onshore_petroleum_v12.none.min,accessibility_to_cities_2015_v1.0.mean,accessibility_to_cities_2015_v1.0.max,accessibility_to_cities_2015_v1.0.min,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
20,1975644.375,9260.25,9260.91992188,302.209068975,2254.14892578,1.49723780155,95819.3671875,10.3992670167,160.663482666,0.0,138462.521247,179821.257053,72163.8616485,40543.3305681,85200.9492424,0.0,25.5447276992,252.0,0.0,102.969842941,742.0,0.0,ADM1,20,20,JPN,JPN-ADM1-47310658B34967550,JP-10,Gunma,ADM1
21,2606616.0,6617.52978516,6618.11962891,553.035938499,6801.68115234,37.6127815247,87224.2578125,13.2890166706,229.892822266,0.0,59409.9934304,119543.202592,4272.1251089,225359.122606,287732.390532,160109.293686,25.7513682524,92.0,0.0,57.9823054531,344.0,0.0,ADM1,21,21,JPN,JPN-ADM1-47310658B15648004,JP-26,Kyoto Prefecture,ADM1
22,6446168.0,7440.68994141,7441.14013672,1245.60840267,15814.7451172,0.0,193096.53125,26.0828479688,186.723617554,0.0,61288.2843289,132829.324858,8238.67733187,721.383836088,23581.600253,0.0,10.0653802352,55.0,0.0,24.9991053416,215.0,0.0,ADM1,22,22,JPN,JPN-ADM1-47310658B14276993,JP-12,Chiba,ADM1
23,2937441.0,8678.91992188,8856.51953125,484.676001967,3668.80712891,0.0,136789.375,15.5204342191,129.12638855,0.0,46699.610023,106599.588325,0.0,19786.8976509,76127.4638952,0.0,10.4483974454,55.0,0.0,34.8409743926,286.0,0.0,ADM1,23,23,JPN,JPN-ADM1-47310658B95505138,JP-08,Ibaraki,ADM1
24,9404270.0,3498.29003906,3498.70019531,3885.11666117,15882.1005859,22.2586345673,182353.625,52.5057321385,204.811325073,0.0,117455.471782,155840.895556,77140.5643072,9581.90112217,37625.7980662,0.0,3.85495340244,48.0,0.0,21.1028097098,262.0,0.0,ADM1,24,24,JPN,JPN-ADM1-47310658B16798768,JP-14,Kanagawa,ADM1
25,2728473.5,12071.7207031,12072.0205078,324.099061283,4667.11865234,14.6305856705,104989.179688,8.75136128454,245.743667603,0.0,159017.900769,216080.542799,92366.0585325,307459.285114,371880.545414,239807.546548,18.2411949301,62.0,0.0,59.8996545646,361.0,0.0,ADM1,25,25,JPN,JPN-ADM1-47310658B86761367,JP-34,Hiroshima,ADM1
26,538849.1875,4959.5,4961.37011719,192.461210954,100358.429688,0.0,18245.4726562,3.63805209143,83.4786911011,0.0,202362.379045,271846.511108,139600.73631,370812.538418,435781.819497,307081.199101,18.576766275,59.0,0.0,88.7054097343,385.0,0.0,ADM1,26,26,JPN,JPN-ADM1-47310658B16165967,JP-31,Tottori Prefecture,ADM1
27,662067.735352,9459.36950684,9541.35955811,107.35020248,100358.429688,0.0,25635.1618652,2.67714724119,95.3813095093,0.0,209417.711732,329120.04413,133677.82416,349267.883189,502795.743995,248404.743842,36.0511160095,257.0,0.0,79.3472846701,375.0,0.0,ADM1,27,27,JPN,JPN-ADM1-47310658B35403389,JP-32,Shimane,ADM1
28,2235859.74609,18559.6899414,18558.7404785,175.839136196,1056.10217285,1.49723780155,96356.5258789,5.21402483279,181.865829468,0.0,203445.648225,326656.192152,141249.327983,4412.69775707,65241.5557002,0.0,40.3720000653,224.0,0.0,122.714722669,825.0,0.0,ADM1,28,28,JPN,JPN-ADM1-47310658B19828269,JP-15,Niigata,ADM1
29,2067308.0,19602.2890625,19610.75,148.269414148,754.518493652,0.0,104884.289062,5.34275442763,133.448623657,0.0,91966.710156,193816.318327,8800.94992227,50203.6888514,112953.627843,0.0,25.9091749851,262.0,0.0,92.7185971998,673.0,0.0,ADM1,29,29,JPN,JPN-ADM1-47310658B32252870,JP-20,Nagano,ADM1
30,7657573.0,7397.18945312,7397.04980469,1461.8541433,7045.49316406,0.0,299496.78125,40.4852974745,518.409362793,0.0,48137.2660925,79037.91,18398.1962715,67220.4204304,119416.62675,22566.9582616,6.69965233385,57.0,0.0,36.570278954,425.0,0.0,ADM1,30,30,JPN,JPN-ADM1-47310658B53720607,JP-23,Aichi Prefecture,ADM1
31,821119.1875,6430.93017578,6432.95996094,181.351519067,2263.18798828,0.0,46558.2460938,7.24626963801,153.111160278,0.0,103356.497629,140606.002017,66332.0772906,39175.9962006,79037.91,0.0,19.7575258589,183.0,0.0,109.69033994,803.0,0.0,ADM1,31,31,JPN,JPN-ADM1-47310658B50671737,JP-19,Yamanashi,ADM1
